Geneid	SRR5364316	SRR5364317	SRR5364318	SRR5364321	SRR5364323	SRR5364330
ENSMUSG00000002881	2248	1799	1486	1580	2171	2177
ENSMUSG00000002885	349	369	332	326	318	367
ENSMUSG00000002897	435	419	322	521	511	560
ENSMUSG00000002900	1028	1019	963	1049	1162	1210
ENSMUSG00000002908	197	176	184	179	214	238
ENSMUSG00000002910	479	584	485	1041	712	1301
ENSMUSG00000002930	9506	8740	6652	10039	11274	12490
ENSMUSG00000002944	29	35	49	26	37	40
ENSMUSG00000002948	2019	2063	2059	2407	2268	2768
ENSMUSG00000002949	1783	1746	1936	2150	1889	2337
ENSMUSG00000002957	8233	7593	7870	8175	8262	10185
ENSMUSG00000002963	682	655	725	768	789	809
ENSMUSG00000002968	2145	2222	2335	2424	2330	2826
ENSMUSG00000002980	382	351	538	433	568	594
ENSMUSG00000002981	4128	4014	4132	4199	4749	5250
ENSMUSG00000002983	76	82	100	93	98	113
ENSMUSG00000002984	1161	1200	1255	1109	1230	1432
ENSMUSG00000002985	26359	25747	31309	31389	28321	39922
ENSMUSG00000002992	0	0	0	1	0	0
ENSMUSG00000002996	1960	1754	1800	1878	1759	1949
ENSMUSG00000002997	798	776	1070	613	710	824
ENSMUSG00000003031	6092	5153	5323	5382	6290	6132
ENSMUSG00000003032	439	371	550	313	285	538
ENSMUSG00000003033	1605	1713	1935	1739	1983	2028
ENSMUSG00000003037	1332	1247	1389	1128	1357	1490
